"","gen","A1A1","A1A2","A2A2"
"3108",3108,99892.6140063392,45032.1904930389,5075.19550062193
"3109",3109,99855.8820159464,45060.638843856,5083.47914019769
"3110",3110,99819.1335928338,45089.0916357365,5091.7747714297
"3111",3111,99782.3687462049,45117.5488458598,5100.08240793533
"3112",3112,99745.5874852927,45146.0104513689,5108.40206333847
"3113",3113,99708.7898193593,45174.4764293712,5116.7337512695
"3114",3114,99671.9757576965,45202.9467569382,5125.0774853653
"3115",3115,99635.1453096253,45231.4214111055,5133.4332792692
"3116",3116,99598.2984844961,45259.9003688729,5141.80114663097
"3117",3117,99561.4352916889,45288.3836072043,5150.18110110679
"3118",3118,99524.5557406129,45316.8711030278,5158.57315635928
"3119",3119,99487.6598407071,45345.3628332355,5166.97732605739
"3120",3120,99450.7476014397,45373.8587746839,5175.39362387647
"3121",3121,99413.8190323084,45402.3589041934,5183.82206349819
"3122",3122,99376.8741428407,45430.8631985488,5192.26265861056
"3123",3123,99339.9129425933,45459.3716344988,5200.71542290787
"3124",3124,99302.9354411526,45487.8841887567,5209.18037009069
"3125",3125,99265.9416481346,45516.4008379996,5217.65751386588
"3126",3126,99228.9315731847,45544.9215588688,5226.14686794651
"3127",3127,99191.9052259781,45573.44632797,5234.64844605188
"3128",3128,99154.8626162195,45601.9751218731,5243.16226190748
"3129",3129,99117.8037536432,45630.5079171119,5251.68832924498
"3130",3130,99080.7286480131,45659.0446901847,5260.22666180222
"3131",3131,99043.637309123,45687.5854175539,5268.77727332317
"3132",3132,99006.529746796,45716.1300756461,5277.34017755791
"3133",3133,98969.4059708851,45744.6786408523,5285.91538826261
"3134",3134,98932.265991273,45773.2310895274,5294.50291919953
"3135",3135,98895.1098178721,45801.7873979909,5303.10278413698
"3136",3136,98857.9374606244,45830.3475425263,5311.71499684927
"3137",3137,98820.7489295018,45858.9114993814,5320.33957111678
"3138",3138,98783.5442345058,45887.4792447684,5328.97652072582
"3139",3139,98746.3233856679,45916.0507548635,5337.6258594687
"3140",3140,98709.086393049,45944.6260058073,5346.28760114367
"3141",3141,98671.8332667402,45973.2049737049,5354.96175955491
"3142",3142,98634.5640168622,46001.7876346253,5363.64834851249
"3143",3143,98597.2786535655,46030.3739646021,5372.34738183237
"3144",3144,98559.9771870307,46058.963939633,5381.05887333638
"3145",3145,98522.6596274678,46087.5575356801,5389.78283685218
"3146",3146,98485.325985117,46116.1547286697,5398.51928621324
"3147",3147,98447.9762702484,46144.7554944927,5407.26823525883
"3148",3148,98410.6104931618,46173.3598090041,5416.02969783401
"3149",3149,98373.2286641871,46201.9676480233,5424.80368778957
"3150",3150,98335.8307936839,46230.578987334,5433.59021898203
"3151",3151,98298.416892042,46259.1938026844,5442.38930527363
"3152",3152,98260.9869696809,46287.8120697868,5451.2009605323
"3153",3153,98223.5410370502,46316.4337643182,5460.0251986316
"3154",3154,98186.0791046294,46345.0588619198,5468.86203345078
"3155",3155,98148.6011829282,46373.6873381972,5477.71147887467
"3156",3156,98111.1072824859,46402.3191687204,5486.57354879371
"3157",3157,98073.5974138722,46430.9543290238,5495.44825710391
"3158",3158,98036.0715876867,46459.5927946064,5504.33561770684
"3159",3159,97998.529814559,46488.2345409314,5513.23564450958
"3160",3160,97960.9721051487,46516.8795434265,5522.14835142475
"3161",3161,97923.3984701457,46545.5277774839,5531.07375237041
"3162",3162,97885.8089202696,46574.1792184603,5540.01186127011
"3163",3163,97848.2034662705,46602.8338416766,5548.96269205284
"3164",3164,97810.5821189283,46631.4916224187,5557.92625865299
"3165",3165,97772.9448890532,46660.1525359364,5566.90257501034
"3166",3166,97735.2917874855,46688.8165574445,5575.89165507004
"3167",3167,97697.6228250955,46717.4836621219,5584.8935127826
"3168",3168,97659.9380127838,46746.1538251124,5593.90816210385
"3169",3169,97622.2373614811,46774.827021524,5602.9356169949
"3170",3170,97584.5208821484,46803.5032264295,5611.97589142216
"3171",3171,97546.7885857767,46832.1824148661,5621.02899935726
"3172",3172,97509.0404833873,46860.8645618356,5630.0949547771
"3173",3173,97471.2765860317,46889.5496423045,5639.17377166376
"3174",3174,97433.4969047918,46918.2376312037,5648.2654640045
"3175",3175,97395.7014507794,46946.9285034289,5657.37004579175
"3176",3176,97357.8902351367,46975.6222338402,5666.48753102308
"3177",3177,97320.0632690363,47004.3187972626,5675.61793370114
"3178",3178,97282.2205636809,47033.0181684854,5684.7612678337
"3179",3179,97244.3621303036,47061.7203222628,5693.91754743359
"3180",3180,97206.4879801676,47090.4252333137,5703.08678651865
"3181",3181,97168.5981245667,47119.1328763216,5712.26899911177
"3182",3182,97130.6925748247,47147.8432259345,5721.4641992408
"3183",3183,97092.771342296,47176.5562567654,5730.67240093859
"3184",3184,97054.8344383652,47205.2719433919,5739.89361824291
"3185",3185,97016.8818744473,47233.9902603563,5749.12786519645
"3186",3186,96978.9136619876,47262.7111821656,5758.3751558468
"3187",3187,96940.9298124618,47291.4346832918,5767.63550424641
"3188",3188,96902.9303373759,47320.1607381714,5776.9089244526
"3189",3189,96864.9152482667,47348.8893212059,5786.19543052746
"3190",3190,96826.8845567008,47377.6204067613,5795.49503653793
"3191",3191,96788.8382742756,47406.3539691687,5804.8077565557
"3192",3192,96750.7764126188,47435.089982724,5814.13360465719
"3193",3193,96712.6989833886,47463.8284216879,5823.47259492357
"3194",3194,96674.6059982736,47492.5692602858,5832.82474144068
"3195",3195,96636.4974689928,47521.3124727081,5842.19005829905
"3196",3196,96598.3734072958,47550.0580331103,5851.56855959385
"3197",3197,96560.2338249627,47578.8059156125,5860.96025942487
"3198",3198,96522.0787338038,47607.5560942997,5870.3651718965
"3199",3199,96483.9081456602,47636.3085432222,5879.78331111769
"3200",3200,96445.7220724033,47665.0632363948,5889.21469120195
"3201",3201,96407.5205259352,47693.8201477975,5898.6593262673
"3202",3202,96369.3035181884,47722.5792513754,5908.11723043626
"3203",3203,96331.0710611259,47751.3405210383,5917.58841783582
"3204",3204,96292.8231667414,47780.1039306612,5927.07290259741
"3205",3205,96254.5598470589,47808.8694540842,5936.57069885688
"3206",3206,96216.2811141333,47837.6370651122,5946.08182075446
"3207",3207,96177.9869800498,47866.4067375154,5955.60628243477
